Mod:Item:MetaData, Localized Name
forestry:flexible_casing, Гибкий корпус
forestry:crafting_material:0, Пульсирующая пыль
forestry:crafting_material:1, Пульсирующая сеть
forestry:crafting_material:2, Клочок шёлка
forestry:crafting_material:3, Тканый шёлк
forestry:crafting_material:4, Рассеивающий заряд
forestry:crafting_material:5, Осколок льда
forestry:crafting_material:6, Пропитанная обшивка
forestry:crafting_material:7, Маскировочная обшивка
forestry:naturalist_helmet, Очки
forestry:peat, Торф
forestry:ash, Пепел
forestry:bituminous_peat, Смолистый торф
forestry:gear_bronze, Бронзовая шестерня
forestry:gear_copper, Медная шестерня
forestry:gear_tin, Оловянная шестерня
forestry:chipsets:0, Основная печатная плата
forestry:chipsets:1, Продвинутая печатная плата
forestry:chipsets:2, Усовершенствованная печатная плата
forestry:chipsets:3, Усложнённая печатная плата
forestry:soldering_iron, Паяльник
forestry:carton, Картон
forestry:oak_stick, Полированная палка
forestry:wood_pulp, Древесная масса
forestry:broken_bronze_pickaxe, Сломанная кирка
forestry:broken_bronze_shovel, Сломанная лопата
forestry:bronze_pickaxe, Кирка выживающего
forestry:bronze_shovel, Лопата выживающего
forestry:kit_shovel, Сборная лопата
forestry:kit_pickaxe, Сборная кирка
forestry:mouldy_wheat, Плесневелая пшеница
forestry:decaying_wheat, Загнивающая пшеница
forestry:mulch, Мульча
forestry:iodine_capsule, Капсула йода
forestry:phosphor, Фосфор
forestry:beeswax, Пчелиный воск
forestry:refractory_wax, Огнеупорный воск
forestry:fruits:0, Вишня
forestry:fruits:1, Грецкий орех
forestry:fruits:2, Каштан
forestry:fruits:3, Лимон
forestry:fruits:4, Слива
forestry:fruits:5, Финик
forestry:fruits:6, Папайя
forestry:analyzer:0, Анализатор
forestry:escritoire:0, Секретер
forestry:bog_earth:0, Болотная земля
forestry:humus:0, Гумус
forestry:resources:0, Апатитовая руда
forestry:resources:1, Медная руда
forestry:resources:2, Оловянная руда
forestry:resource_storage:0, Апатитовый блок
forestry:resource_storage:1, Медный блок
forestry:resource_storage:2, Оловянный блок
forestry:resource_storage:3, Бронзовый блок
forestry:ash_brick:0, Кирпичи из золы
forestry:ash_stairs:0, Ступеньки из золы
forestry:habitat_former:0, Бывшая среда обитания
forestry:habitat_screen, Экран среды обитания
forestry:engine_peat:0, Торфяной двигатель
forestry:engine_biogas:0, Биогазовый двигатель
forestry:engine_clockwork:0, Заводной двигатель
forestry:grafter, Садовый нож
forestry:grafter_proven, Проверенный садовый нож
forestry:logs.0:0, Древесина лиственницы
forestry:logs.0:1, Древесина тикового дерева
forestry:logs.0:2, Древесина акации
forestry:logs.0:3, Древесина липы
forestry:logs.1:0, Древесина каштана
forestry:logs.1:1, Древесина дерева Венге
forestry:logs.1:2, Древесина баобаба
forestry:logs.1:3, Древесина секвойи
forestry:logs.2:0, Древесина хлопкового дерева
forestry:logs.2:1, Древесина мирта
forestry:logs.2:2, Древесина красного дерева
forestry:logs.2:3, Древесина бальзы
forestry:logs.3:0, Древесина ивы
forestry:logs.3:1, Древесина орехового дерева
forestry:logs.3:2, Древесина гринхарта
forestry:logs.3:3, Древесина вишнёвого дерева
forestry:logs.4:0, Древесина гибискуса
forestry:logs.4:1, Древесина тополя
forestry:logs.4:2, Древесина пальмы
forestry:logs.4:3, Древесина дынного дерева
forestry:logs.5:0, Древесина сосны
forestry:logs.5:1, Древесина сливового дерева
forestry:logs.5:2, Древесина клёна
forestry:logs.5:3, Древесина цитрусового дерева
forestry:logs.6:0, Древесина гигантской секвойи
forestry:logs.6:1, Древесина муравьиного дерева
forestry:logs.6:2, Древесина падука
forestry:logs.6:3, Древесина кокоболо
forestry:logs.7:0, Древесина зебрано
forestry:logs.fireproof.0:0, Древесина лиственницы (огнестойкость)
forestry:logs.fireproof.0:1, Древесина тикового дерева (огнестойкость)
forestry:logs.fireproof.0:2, Древесина акации (огнестойкость)
forestry:logs.fireproof.0:3, Древесина липы (огнестойкость)
forestry:logs.fireproof.1:0, Древесина каштана (огнестойкость)
forestry:logs.fireproof.1:1, Древесина дерева Венге (огнестойкость)
forestry:logs.fireproof.1:2, Древесина баобаба (огнестойкость)
forestry:logs.fireproof.1:3, Древесина секвойи (огнестойкость)
forestry:logs.fireproof.2:0, Древесина хлопкового дерева (огнестойкость)
forestry:logs.fireproof.2:1, Древесина мирта (огнестойкость)
forestry:logs.fireproof.2:2, Древесина красного дерева (огнестойкость)
forestry:logs.fireproof.2:3, Древесина бальзы (огнестойкость)
forestry:logs.fireproof.3:0, Древесина ивы (огнестойкость)
forestry:logs.fireproof.3:1, Древесина орехового дерева (огнестойкость)
forestry:logs.fireproof.3:2, Древесина гринхарта (огнестойкость)
forestry:logs.fireproof.3:3, Древесина вишнёвого дерева (огнестойкость)
forestry:logs.fireproof.4:0, Древесина гибискуса (огнестойкость)
forestry:logs.fireproof.4:1, Древесина тополя (огнестойкость)
forestry:logs.fireproof.4:2, Древесина пальмы (огнестойкость)
forestry:logs.fireproof.4:3, Древесина дынного дерева (огнестойкость)
forestry:logs.fireproof.5:0, Древесина сосны (огнестойкость)
forestry:logs.fireproof.5:1, Древесина сливового дерева (огнестойкость)
forestry:logs.fireproof.5:2, Древесина клёна (огнестойкость)
forestry:logs.fireproof.5:3, Древесина цитрусового дерева (огнестойкость)
forestry:logs.fireproof.6:0, Древесина гигантской секвойи (огнестойкость)
forestry:logs.fireproof.6:1, Древесина муравьиного дерева (огнестойкость)
forestry:logs.fireproof.6:2, Древесина падука (огнестойкость)
forestry:logs.fireproof.6:3, Древесина кокоболо (огнестойкость)
forestry:logs.fireproof.7:0, Древесина зебрано (огнестойкость)
forestry:logs.vanilla.fireproof.0:0, Дуб (огнестойкость)
forestry:logs.vanilla.fireproof.0:1, Ель (огнестойкость)
forestry:logs.vanilla.fireproof.0:2, Берёза (огнестойкость)
forestry:logs.vanilla.fireproof.0:3, Тропическое дерево (огнестойкость)
forestry:logs.vanilla.fireproof.1:0, Акация (огнестойкость)
forestry:logs.vanilla.fireproof.1:1, Тёмный дуб (огнестойкость)
forestry:planks.0:0, Доски из лиственницы
forestry:planks.0:1, Доски из тикового дерева
forestry:planks.0:2, Доски из акации
forestry:planks.0:3, Доски из липы
forestry:planks.0:4, Доски из каштана
forestry:planks.0:5, Доски из дерева Венге
forestry:planks.0:6, Доски из баобаба
forestry:planks.0:7, Доски из секвойи
forestry:planks.0:8, Доски из хлопкового дерева
forestry:planks.0:9, Доски из мирта
forestry:planks.0:10, Доски из красного дерева
forestry:planks.0:11, Доски из бальзы
forestry:planks.0:12, Доски из ивы
forestry:planks.0:13, Доски из орехового дерева
forestry:planks.0:14, Доски из гринхарта
forestry:planks.0:15, Доски из вишнёвого дерева
forestry:planks.1:0, Доски из гибискуса
forestry:planks.1:1, Доски из тополя
forestry:planks.1:2, Доски из пальмы
forestry:planks.1:3, Доски из дынного дерева
forestry:planks.1:4, Доски из сосны
forestry:planks.1:5, Доски из сливового дерева
forestry:planks.1:6, Доски из клёна
forestry:planks.1:7, Доски из цитрусового дерева
forestry:planks.1:8, Доски из гигантской секвойи
forestry:planks.1:9, Доски из муравьиного дерева
forestry:planks.1:10, Доски из падука
forestry:planks.1:11, Доски из кокоболо
forestry:planks.1:12, Доски из зебрано
forestry:planks.fireproof.0:0, Доски из лиственницы (огнестойкость)
forestry:planks.fireproof.0:1, Доски из тикового дерева (огнестойкость)
forestry:planks.fireproof.0:2, Доски из акации (огнестойкость)
forestry:planks.fireproof.0:3, Доски из липы (огнестойкость)
forestry:planks.fireproof.0:4, Доски из каштана (огнестойкость)
forestry:planks.fireproof.0:5, Доски из дерева Венге (огнестойкость)
forestry:planks.fireproof.0:6, Доски из баобаба (огнестойкость)
forestry:planks.fireproof.0:7, Доски из секвойи (огнестойкость)
forestry:planks.fireproof.0:8, Доски из хлопкового дерева (огнестойкость)
forestry:planks.fireproof.0:9, Доски из мирта (огнестойкость)
forestry:planks.fireproof.0:10, Доски из красного дерева (огнестойкость)
forestry:planks.fireproof.0:11, Доски из бальзы (огнестойкость)
forestry:planks.fireproof.0:12, Доски из ивы (огнестойкость)
forestry:planks.fireproof.0:13, Доски из орехового дерева (огнестойкость)
forestry:planks.fireproof.0:14, Доски из гринхарта (огнестойкость)
forestry:planks.fireproof.0:15, Доски из вишнёвого дерева (огнестойкость)
forestry:planks.fireproof.1:0, Доски из гибискуса (огнестойкость)
forestry:planks.fireproof.1:1, Доски из тополя (огнестойкость)
forestry:planks.fireproof.1:2, Доски из пальмы (огнестойкость)
forestry:planks.fireproof.1:3, Доски из дынного дерева (огнестойкость)
forestry:planks.fireproof.1:4, Доски из сосны (огнестойкость)
forestry:planks.fireproof.1:5, Доски из сливового дерева (огнестойкость)
forestry:planks.fireproof.1:6, Доски из клёна (огнестойкость)
forestry:planks.fireproof.1:7, Доски из цитрусового дерева (огнестойкость)
forestry:planks.fireproof.1:8, Доски из гигантской секвойи (огнестойкость)
forestry:planks.fireproof.1:9, Доски из муравьиного дерева (огнестойкость)
forestry:planks.fireproof.1:10, Доски из падука (огнестойкость)
forestry:planks.fireproof.1:11, Доски из кокоболо (огнестойкость)
forestry:planks.fireproof.1:12, Доски из зебрано (огнестойкость)
forestry:planks.vanilla.fireproof.0:0, Дубовые доски (огнестойкость)
forestry:planks.vanilla.fireproof.0:1, Еловые доски (огнестойкость)
forestry:planks.vanilla.fireproof.0:2, Берёзовые доски (огнестойкость)
forestry:planks.vanilla.fireproof.0:3, Доски из тропического дерева (огнестойкость)
forestry:planks.vanilla.fireproof.0:4, Акациевые доски (огнестойкость)
forestry:planks.vanilla.fireproof.0:5, Доски из тёмного дуба (огнестойкость)
forestry:slabs.0:0, Плита из лиственницы
forestry:slabs.0:1, Плита из тикового дерева
forestry:slabs.0:2, Плита из акации
forestry:slabs.0:3, Плита из липы
forestry:slabs.0:4, Плита из каштана
forestry:slabs.0:5, Плита из дерева Венге
forestry:slabs.0:6, Плита из баобаба
forestry:slabs.0:7, Плита из секвойи
forestry:slabs.1:0, Плита из хлопкового дерева
forestry:slabs.1:1, Плита из мирта
forestry:slabs.1:2, Плита из красного дерева
forestry:slabs.1:3, Плита из бальзы
forestry:slabs.1:4, Плита из ивы
forestry:slabs.1:5, Плита из орехового дерева
forestry:slabs.1:6, Плита из гринхарта
forestry:slabs.1:7, Плита из вишнёвого дерева
forestry:slabs.2:0, Плита из гибискуса
forestry:slabs.2:1, Плита из тополя
forestry:slabs.2:2, Плита из пальмы
forestry:slabs.2:3, Плита из дынного дерева
forestry:slabs.2:4, Плита из сосны
forestry:slabs.2:5, Плита из сливового дерева
forestry:slabs.2:6, Плита из клёна
forestry:slabs.2:7, Плита из цитрусового дерева
forestry:slabs.3:0, Плита из гигантской секвойи
forestry:slabs.3:1, Плита из муравьиного дерева
forestry:slabs.3:2, Плита из падука
forestry:slabs.3:3, Плита из кокоболо
forestry:slabs.3:4, Плита из зебрано
forestry:slabs.fireproof.0:0, Плита из лиственницы (огнестойкость)
forestry:slabs.fireproof.0:1, Плита из тикового дерева (огнестойкость)
forestry:slabs.fireproof.0:2, Плита из акации (огнестойкость)
forestry:slabs.fireproof.0:3, Плита из липы (огнестойкость)
forestry:slabs.fireproof.0:4, Плита из каштана (огнестойкость)
forestry:slabs.fireproof.0:5, Плита из дерева Венге (огнестойкость)
forestry:slabs.fireproof.0:6, Плита из баобаба (огнестойкость)
forestry:slabs.fireproof.0:7, Плита из секвойи (огнестойкость)
forestry:slabs.fireproof.1:0, Плита из хлопкового дерева (огнестойкость)
forestry:slabs.fireproof.1:1, Плита из мирта (огнестойкость)
forestry:slabs.fireproof.1:2, Плита из красного дерева (огнестойкость)
forestry:slabs.fireproof.1:3, Плита из бальзы (огнестойкость)
forestry:slabs.fireproof.1:4, Плита из ивы (огнестойкость)
forestry:slabs.fireproof.1:5, Плита из орехового дерева (огнестойкость)
forestry:slabs.fireproof.1:6, Плита из гринхарта (огнестойкость)
forestry:slabs.fireproof.1:7, Плита из вишнёвого дерева (огнестойкость)
forestry:slabs.fireproof.2:0, Плита из гибискуса (огнестойкость)
forestry:slabs.fireproof.2:1, Плита из тополя (огнестойкость)
forestry:slabs.fireproof.2:2, Плита из пальмы (огнестойкость)
forestry:slabs.fireproof.2:3, Плита из дынного дерева (огнестойкость)
forestry:slabs.fireproof.2:4, Плита из сосны (огнестойкость)
forestry:slabs.fireproof.2:5, Плита из сливового дерева (огнестойкость)
forestry:slabs.fireproof.2:6, Плита из клёна (огнестойкость)
forestry:slabs.fireproof.2:7, Плита из цитрусового дерева (огнестойкость)
forestry:slabs.fireproof.3:0, Плита из гигантской секвойи (огнестойкость)
forestry:slabs.fireproof.3:1, Плита из муравьиного дерева (огнестойкость)
forestry:slabs.fireproof.3:2, Плита из падука (огнестойкость)
forestry:slabs.fireproof.3:3, Плита из кокоболо (огнестойкость)
forestry:slabs.fireproof.3:4, Плита из зебрано (огнестойкость)
forestry:slabs.vanilla.fireproof.0:0, Дубовая плита (огнестойкость)
forestry:slabs.vanilla.fireproof.0:1, Еловая плита (огнестойкость)
forestry:slabs.vanilla.fireproof.0:2, Берёзовая плита (огнестойкость)
forestry:slabs.vanilla.fireproof.0:3, Плита из тропического дерева (огнестойкость)
forestry:slabs.vanilla.fireproof.0:4, Акациевая плита (огнестойкость)
forestry:slabs.vanilla.fireproof.0:5, Плита из тёмного дуба (огнестойкость)
forestry:fences.0:0, Забор из лиственницы
forestry:fences.0:1, Забор из тикового дерева
forestry:fences.0:2, Забор из акации
forestry:fences.0:3, Забор из липы
forestry:fences.0:4, Забор из каштана
forestry:fences.0:5, Забор из дерева Венге
forestry:fences.0:6, Забор из баобаба
forestry:fences.0:7, Забор из секвойи
forestry:fences.0:8, Забор из хлопкового дерева
forestry:fences.0:9, Забор из мирта
forestry:fences.0:10, Забор из красного дерева
forestry:fences.0:11, Забор из бальзы
forestry:fences.0:12, Забор из ивы
forestry:fences.0:13, Забор из орехового дерева
forestry:fences.0:14, Забор из гринхарта
forestry:fences.0:15, Забор из вишнёвого дерева
forestry:fences.1:0, Забор из гибискуса
forestry:fences.1:1, Забор из тополя
forestry:fences.1:2, Забор из пальмы
forestry:fences.1:3, Забор из дынного дерева
forestry:fences.1:4, Забор из сосны
forestry:fences.1:5, Забор из сливового дерева
forestry:fences.1:6, Забор из клёна
forestry:fences.1:7, Забор из цитрусового дерева
forestry:fences.1:8, Забор из гигантской секвойи
forestry:fences.1:9, Забор из муравьиного дерева
forestry:fences.1:10, Забор из падука
forestry:fences.1:11, Забор из кокоболо
forestry:fences.1:12, Забор из зебрано
forestry:fences.fireproof.0:0, Забор из лиственницы (огнестойкость)
forestry:fences.fireproof.0:1, Забор из тикового дерева (огнестойкость)
forestry:fences.fireproof.0:2, Забор из акации (огнестойкость)
forestry:fences.fireproof.0:3, Забор из липы (огнестойкость)
forestry:fences.fireproof.0:4, Забор из каштана (огнестойкость)
forestry:fences.fireproof.0:5, Забор из дерева Венге (огнестойкость)
forestry:fences.fireproof.0:6, Забор из баобаба (огнестойкость)
forestry:fences.fireproof.0:7, Забор из секвойи (огнестойкость)
forestry:fences.fireproof.0:8, Забор из хлопкового дерева (огнестойкость)
forestry:fences.fireproof.0:9, Забор из мирта (огнестойкость)
forestry:fences.fireproof.0:10, Забор из красного дерева (огнестойкость)
forestry:fences.fireproof.0:11, Забор из бальзы (огнестойкость)
forestry:fences.fireproof.0:12, Забор из ивы (огнестойкость)
forestry:fences.fireproof.0:13, Забор из орехового дерева (огнестойкость)
forestry:fences.fireproof.0:14, Забор из гринхарта (огнестойкость)
forestry:fences.fireproof.0:15, Забор из вишнёвого дерева (огнестойкость)
forestry:fences.fireproof.1:0, Забор из гибискуса (огнестойкость)
forestry:fences.fireproof.1:1, Забор из тополя (огнестойкость)
forestry:fences.fireproof.1:2, Забор из пальмы (огнестойкость)
forestry:fences.fireproof.1:3, Забор из дынного дерева (огнестойкость)
forestry:fences.fireproof.1:4, Забор из сосны (огнестойкость)
forestry:fences.fireproof.1:5, Забор из сливового дерева (огнестойкость)
forestry:fences.fireproof.1:6, Забор из клёна (огнестойкость)
forestry:fences.fireproof.1:7, Забор из цитрусового дерева (огнестойкость)
forestry:fences.fireproof.1:8, Забор из гигантской секвойи (огнестойкость)
forestry:fences.fireproof.1:9, Забор из муравьиного дерева (огнестойкость)
forestry:fences.fireproof.1:10, Забор из падука (огнестойкость)
forestry:fences.fireproof.1:11, Забор из кокоболо (огнестойкость)
forestry:fences.fireproof.1:12, Забор из зебрано (огнестойкость)
forestry:fences.vanilla.fireproof.0:0, Дубовый забор (огнестойкость)
forestry:fences.vanilla.fireproof.0:1, Еловый забор (огнестойкость)
forestry:fences.vanilla.fireproof.0:2, Берёзовый забор (огнестойкость)
forestry:fences.vanilla.fireproof.0:3, Забор из тропического дерева (огнестойкость)
forestry:fences.vanilla.fireproof.0:4, Акациевый забор (огнестойкость)
forestry:fences.vanilla.fireproof.0:5, Забор из тёмного дуба (огнестойкость)
forestry:fence.gates.larch:0, Калитка из лиственницы
forestry:fence.gates.fireproof.larch:0, Калитка из лиственницы (огнестойкость)
forestry:fence.gates.teak:0, Калитка из тикового дерева
forestry:fence.gates.fireproof.teak:0, Калитка из тикового дерева (огнестойкость)
forestry:fence.gates.acacia:0, Калитка из акации
forestry:fence.gates.fireproof.acacia:0, Калитка из акации (огнестойкость)
forestry:fence.gates.lime:0, Калитка из липы
forestry:fence.gates.fireproof.lime:0, Калитка из липы (огнестойкость)
forestry:fence.gates.chestnut:0, Калитка из каштана
forestry:fence.gates.fireproof.chestnut:0, Калитка из каштана (огнестойкость)
forestry:fence.gates.wenge:0, Калитка из дерева Венге
forestry:fence.gates.fireproof.wenge:0, Калитка из дерева Венге (огнестойкость)
forestry:fence.gates.baobab:0, Калитка из баобаба
forestry:fence.gates.fireproof.baobab:0, Калитка из баобаба (огнестойкость)
forestry:fence.gates.sequoia:0, Калитка из секвойи
forestry:fence.gates.fireproof.sequoia:0, Калитка из секвойи (огнестойкость)
forestry:fence.gates.kapok:0, Калитка из хлопкового дерева
forestry:fence.gates.fireproof.kapok:0, Калитка из хлопкового дерева (огнестойкость)
forestry:fence.gates.ebony:0, Калитка из мирта
forestry:fence.gates.fireproof.ebony:0, Калитка из мирта (огнестойкость)
forestry:fence.gates.mahogany:0, Калитка из красного дерева
forestry:fence.gates.fireproof.mahogany:0, Калитка из красного дерева (огнестойкость)
forestry:fence.gates.balsa:0, Калитка из бальзы
forestry:fence.gates.fireproof.balsa:0, Калитка из бальзы (огнестойкость)
forestry:fence.gates.willow:0, Калитка из ивы
forestry:fence.gates.fireproof.willow:0, Калитка из ивы (огнестойкость)
forestry:fence.gates.walnut:0, Калитка из орехового дерева
forestry:fence.gates.fireproof.walnut:0, Калитка из орехового дерева (огнестойкость)
forestry:fence.gates.greenheart:0, Калитка из гринхарта
forestry:fence.gates.fireproof.greenheart:0, Калитка из гринхарта (огнестойкость)
forestry:fence.gates.cherry:0, Калитка из вишнёвого дерева
forestry:fence.gates.fireproof.cherry:0, Калитка из вишнёвого дерева (огнестойкость)
forestry:fence.gates.mahoe:0, Калитка из гибискуса
forestry:fence.gates.fireproof.mahoe:0, Калитка из гибискуса (огнестойкость)
forestry:fence.gates.poplar:0, Калитка из тополя
forestry:fence.gates.fireproof.poplar:0, Калитка из тополя (огнестойкость)
forestry:fence.gates.palm:0, Калитка из пальмы
forestry:fence.gates.fireproof.palm:0, Калитка из пальмы (огнестойкость)
forestry:fence.gates.papaya:0, Калитка из дынного дерева
forestry:fence.gates.fireproof.papaya:0, Калитка из дынного дерева (огнестойкость)
forestry:fence.gates.pine:0, Калитка из сосны
forestry:fence.gates.fireproof.pine:0, Калитка из сосны (огнестойкость)
forestry:fence.gates.plum:0, Калитка из сливового дерева
forestry:fence.gates.fireproof.plum:0, Калитка из сливового дерева (огнестойкость)
forestry:fence.gates.maple:0, Калитка из клёна
forestry:fence.gates.fireproof.maple:0, Калитка из клёна (огнестойкость)
forestry:fence.gates.citrus:0, Калитка из цитрусового дерева
forestry:fence.gates.fireproof.citrus:0, Калитка из цитрусового дерева (огнестойкость)
forestry:fence.gates.giganteum:0, Калитка из гигантской секвойи
forestry:fence.gates.fireproof.giganteum:0, Калитка из гигантской секвойи (огнестойкость)
forestry:fence.gates.ipe:0, Калитка из муравьиного дерева
forestry:fence.gates.fireproof.ipe:0, Калитка из муравьиного дерева (огнестойкость)
forestry:fence.gates.padauk:0, Калитка из падука
forestry:fence.gates.fireproof.padauk:0, Калитка из падука (огнестойкость)
forestry:fence.gates.cocobolo:0, Калитка из кокоболо
forestry:fence.gates.fireproof.cocobolo:0, Калитка из кокоболо (огнестойкость)
forestry:fence.gates.zebrawood:0, Калитка из зебрано
forestry:fence.gates.fireproof.zebrawood:0, Калитка из зебрано (огнестойкость)
forestry:fence.gates.vanilla.fireproof.oak:0, Дубовая калитка (огнестойкость)
forestry:fence.gates.vanilla.fireproof.spruce:0, Еловая калитка (огнестойкость)
forestry:fence.gates.vanilla.fireproof.birch:0, Берёзовая калитка (огнестойкость)
forestry:fence.gates.vanilla.fireproof.jungle:0, Калитка из тропического дерева (огнестойкость)
forestry:fence.gates.vanilla.fireproof.acacia:0, Акациевая калитка (огнестойкость)
forestry:fence.gates.vanilla.fireproof.dark_oak:0, Калитка из тёмного дуба (огнестойкость)
forestry:stairs.larch:0, Ступеньки из лиственницы
forestry:stairs.teak:0, Ступеньки из тикового дерева
forestry:stairs.acacia:0, Ступеньки из акации
forestry:stairs.lime:0, Ступеньки из липы
forestry:stairs.chestnut:0, Ступеньки из каштана
forestry:stairs.wenge:0, Ступеньки из дерева Венге
forestry:stairs.baobab:0, Ступеньки из баобаба
forestry:stairs.sequoia:0, Ступеньки из секвойи
forestry:stairs.kapok:0, Ступеньки из хлопкового дерева
forestry:stairs.ebony:0, Ступеньки из мирта
forestry:stairs.mahogany:0, Ступеньки из красного дерева
forestry:stairs.balsa:0, Ступеньки из бальзы
forestry:stairs.willow:0, Ступеньки из ивы
forestry:stairs.walnut:0, Ступеньки из орехового дерева
forestry:stairs.greenheart:0, Ступеньки из гринхарта
forestry:stairs.cherry:0, Ступеньки из вишнёвого дерева
forestry:stairs.mahoe:0, Ступеньки из гибискуса
forestry:stairs.poplar:0, Ступеньки из тополя
forestry:stairs.palm:0, Ступеньки из пальмы
forestry:stairs.papaya:0, Ступеньки из дынного дерева
forestry:stairs.pine:0, Ступеньки из сосны
forestry:stairs.plum:0, Ступеньки из сливового дерева
forestry:stairs.maple:0, Ступеньки из клёна
forestry:stairs.citrus:0, Ступеньки из цитрусового дерева
forestry:stairs.giganteum:0, Ступеньки из гигантской секвойи
forestry:stairs.ipe:0, Ступеньки из муравьиного дерева
forestry:stairs.padauk:0, Ступеньки из падука
forestry:stairs.cocobolo:0, Ступеньки из кокоболо
forestry:stairs.zebrawood:0, Ступеньки из зебрано
forestry:stairs.fireproof.larch:0, Ступеньки из лиственницы (огнестойкость)
forestry:stairs.fireproof.teak:0, Ступеньки из тикового дерева (огнестойкость)
forestry:stairs.fireproof.acacia:0, Ступеньки из акации (огнестойкость)
forestry:stairs.fireproof.lime:0, Ступеньки из липы (огнестойкость)
forestry:stairs.fireproof.chestnut:0, Ступеньки из каштана (огнестойкость)
forestry:stairs.fireproof.wenge:0, Ступеньки из дерева Венге (огнестойкость)
forestry:stairs.fireproof.baobab:0, Ступеньки из баобаба (огнестойкость)
forestry:stairs.fireproof.sequoia:0, Ступеньки из секвойи (огнестойкость)
forestry:stairs.fireproof.kapok:0, Ступеньки из хлопкового дерева (огнестойкость)
forestry:stairs.fireproof.ebony:0, Ступеньки из мирта (огнестойкость)
forestry:stairs.fireproof.mahogany:0, Ступеньки из красного дерева (огнестойкость)
forestry:stairs.fireproof.balsa:0, Ступеньки из бальзы (огнестойкость)
forestry:stairs.fireproof.willow:0, Ступеньки из ивы (огнестойкость)
forestry:stairs.fireproof.walnut:0, Ступеньки из орехового дерева (огнестойкость)
forestry:stairs.fireproof.greenheart:0, Ступеньки из гринхарта (огнестойкость)
forestry:stairs.fireproof.cherry:0, Ступеньки из вишнёвого дерева (огнестойкость)
forestry:stairs.fireproof.mahoe:0, Ступеньки из гибискуса (огнестойкость)
forestry:stairs.fireproof.poplar:0, Ступеньки из тополя (огнестойкость)
forestry:stairs.fireproof.palm:0, Ступеньки из пальмы (огнестойкость)
forestry:stairs.fireproof.papaya:0, Ступеньки из дынного дерева (огнестойкость)
forestry:stairs.fireproof.pine:0, Ступеньки из сосны (огнестойкость)
forestry:stairs.fireproof.plum:0, Ступеньки из сливового дерева (огнестойкость)
forestry:stairs.fireproof.maple:0, Ступеньки из клёна (огнестойкость)
forestry:stairs.fireproof.citrus:0, Ступеньки из цитрусового дерева (огнестойкость)
forestry:stairs.fireproof.giganteum:0, Ступеньки из гигантской секвойи (огнестойкость)
forestry:stairs.fireproof.ipe:0, Ступеньки из муравьиного дерева (огнестойкость)
forestry:stairs.fireproof.padauk:0, Ступеньки из падука (огнестойкость)
forestry:stairs.fireproof.cocobolo:0, Ступеньки из кокоболо (огнестойкость)
forestry:stairs.fireproof.zebrawood:0, Ступеньки из зебрано (огнестойкость)
forestry:stairs.vanilla.fireproof.oak:0, Дубовые ступеньки (огнестойкость)
forestry:stairs.vanilla.fireproof.spruce:0, Еловые ступеньки (огнестойкость)
forestry:stairs.vanilla.fireproof.birch:0, Берёзовые ступеньки (огнестойкость)
forestry:stairs.vanilla.fireproof.jungle:0, Ступеньки из тропического дерева (огнестойкость)
forestry:stairs.vanilla.fireproof.acacia:0, Акациевые ступеньки (огнестойкость)
forestry:stairs.vanilla.fireproof.dark_oak:0, Ступеньки из тёмного дуба (огнестойкость)
forestry:doors.larch:0, Дверь из лиственницы
forestry:doors.teak:0, Дверь из тикового дерева
forestry:doors.acacia:0, Дверь из акации
forestry:doors.lime:0, Дверь из липы
forestry:doors.chestnut:0, Дверь из каштана
forestry:doors.wenge:0, Дверь из дерева Венге
forestry:doors.baobab:0, Дверь из баобаба
forestry:doors.sequoia:0, Дверь из секвойи
forestry:doors.kapok:0, Дверь из хлопкового дерева
forestry:doors.ebony:0, Дверь из мирта
forestry:doors.mahogany:0, Дверь из красного дерева
forestry:doors.balsa:0, Дверь из бальзы
forestry:doors.willow:0, Дверь из ивы
forestry:doors.walnut:0, Дверь из орехового дерева
forestry:doors.greenheart:0, Дверь из гринхарта
forestry:doors.cherry:0, Дверь из вишнёвого дерева
forestry:doors.mahoe:0, Дверь из гибискуса
forestry:doors.poplar:0, Дверь из тополя
forestry:doors.palm:0, Дверь из пальмы
forestry:doors.papaya:0, Дверь из дынного дерева
forestry:doors.pine:0, Дверь из сосны
forestry:doors.plum:0, Дверь из сливового дерева
forestry:doors.maple:0, Дверь из клёна
forestry:doors.citrus:0, Дверь из цитрусового дерева
forestry:doors.giganteum:0, Дверь из гигантской секвойи
forestry:doors.ipe:0, Дверь из муравьиного дерева
forestry:doors.padauk:0, Дверь из падука
forestry:doors.cocobolo:0, Дверь из кокоболо
forestry:doors.zebrawood:0, Дверь из зебрано
forestry:sapling_ge:0, tile.for.sapling_ge.name
forestry:leaves.decorative.0:0, Листва яблочного дуба
forestry:leaves.decorative.0:1, Листва тёмного дуба
forestry:leaves.decorative.0:2, Листва белой берёзы
forestry:leaves.decorative.0:3, Листва липы пушистой
forestry:leaves.decorative.0:4, Листва обычного орехового дерева
forestry:leaves.decorative.0:5, Листва каштана посевного
forestry:leaves.decorative.0:6, Листва сакуры
forestry:leaves.decorative.0:7, Листва лимонного дерева
forestry:leaves.decorative.0:8, Листва сливового дерева
forestry:leaves.decorative.0:9, Листва сахарного клёна
forestry:leaves.decorative.0:10, Листва красной ели
forestry:leaves.decorative.0:11, Листва мировой лиственницы
